"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"3475","25.12.2015","25.12.2018","Программный комплекс «Катарсис» (версия 8)","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «НПО «Эшелон»","АО «БИТК»","ООО Научно-производственная компания «КАТАРСИС»","197110, г. Санкт-Петербург, ул. Барочная, д. 10, корп. 1, лит. А, (812) 380-8020","31.12.2024"
"3476","30.11.2015","30.11.2018","Программное обеспечение электропоезда типа ЭШ2 KISS RUS (АЭРО)","Соответствует требованиям документов: РД НДВ(4)","40","ООО «ИБТранс»","АО «НИИАС»","ООО «Штадлер РУС»","125424, г. Москва, Волоколамское шоссе, д. 73, (495) 363-4336",
"3477","02.12.2015","02.12.2018","ПО маршрутизатора серии RS7705","Соответствует требованиям документов: РД МЭ(4), РД НДВ(4), ТУ","серия","ООО «Газинформсервис»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ЗАО «РКСС»","125009, г. Москва, ул. Тверская, д. 20, стр. 1, (495) 780-5060",
"3478","02.12.2015","02.12.2018","ПО маршрутизатора серии RS7750 и маршрутизатора серии RS7450","Соответствует требованиям документов: РД МЭ(3), РД НДВ(4), ТУ","серия","ООО «Газинформсервис»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ЗАО «РКСС»","125009, г. Москва, ул. Тверская, д. 20, стр. 1, (495) 780-5060",
"3479","07.12.2015","07.12.2018","МБ АИС «Заказ РФ»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","ООО «НПО ВС»","ООО «ЦБИ»","ГУП «Агентство по государственному заказу, межрегиональным связям и инвестиционной деятельности Республики Татарстан»","420021, г. Казань, ул. Московская, д. 55, (843) 292-9577",
"3480","18.12.2015","18.12.2018","ПС «МЗИ ПО СВП»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «РегионКом»","119049, г. Москва, ул. Крымский Вал, д. 3, стр. 2, (495) 969-2002",
"3481","15.12.2015","15.12.2018","программное обеспечение «McAfee Network Security Platform» (версия 8.x)","Соответствует требованиям документов: Требования к СОВ, Профили защиты СОВ(cети пятого класса защиты. ИТ.СОВ.С5.ПЗ)","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ЗАО «Научно-производственная  компания «Абитон»","115432, Москва, 2-й Кожуховский проезд, д. 29, корп. 2, стр. 16, эт. 5, помещ. 1, комн. 23, (495) 974-0456",
"3482","23.12.2015","23.12.2021","программное обеспечение «Veeam Backup & Replication» (версия 9)","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «КАЛУГА АСТРАЛ»","248023, г. Калуга, пер. Теренинский, дом 6, (4842) 788-999",
"3483","21.12.2015","21.12.2018","Kaspersky Security 8.0 для SharePoint Server","Соответствует требованиям документов: Требования к САВЗ, Профиль защиты САВЗ(Б второго класса защиты. ИТ.САВЗ.Б2.ПЗ)","серия","ЗАО «ВИВОСС и ОИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Лаборатория Касперского»","125212, г. Москва, Ленинградское шоссе, д. 39А, стр. 2, (495) 797-8700",
"3484","25.12.2015","25.12.2018","Сервисное обслуживание 2016 (шифр «СВК СО 2016»)","Соответствует требованиям документов: РД СЗЗ(9)","1500000","АО «БИТК»","ФСТЭК России","ООО «НПО Инфокристалл»","105064, г. Москва, Нижний Сусальный пер., д. 4, стр. 4, (495) 607-7469",
"3485","24.12.2015","24.12.2018","Программное обеспечение «Единая система идентификации и аутентификации»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ОАО «Ростелеком»","119002, г. Москва, ул. Арбат, д. 46, (495) 727-49-77",
"3486","28.12.2015","28.12.2018","межсетевой экран Cisco ASA 5515 с установленным программным обеспечением Cisco ASA версии 9.5(1)","Соответствует требованиям документов: РД МЭ(4)","112","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",
"3487","11.01.2016","11.01.2019","коммутатор Cisco C4500X (WS-C4500X-24X-IPB)","Соответствует требованиям документов: РД МЭ(4)","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АМТ-Груп»","115162, г. Москва, улица 1905 года, д. 10А, стр. 1, этаж 8, пом. 11, (495) 725-7660",
"3488","30.12.2015","30.12.2018","коммутатор Cisco N7K-C7009 (N7K-C7009-B2S2E) с установленным программным обеспечением Cisco NX-OS 
Software версии 7.2(1)D1(1)","Соответствует требованиям документов: РД МЭ(4)","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АМТ-Груп»","115162, г. Москва, улица 1905 года, д. 10А, стр. 1, этаж 8, пом. 11, (495) 725-7660",
"3489","30.12.2015","30.12.2018","Cisco C6504E (VS-C6504E-SUP2T)","Соответствует требованиям документов: РД МЭ(4)","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АМТ-Груп»","115162, г. Москва, улица 1905 года, д. 10А, стр. 1, этаж 8, пом. 11, (495) 725-7660",
"3490","30.12.2015","30.12.2018","МЭ Cisco ASA5585-S40P40-K8","Соответствует требованиям документов: РД МЭ(3)","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АМТ-Груп»","115162, г. Москва, улица 1905 года, д. 10А, стр. 1, этаж 8, пом. 11, (495) 725-7660",
"3491","11.01.2016","11.01.2019","Juniper E320","Соответствует требованиям документов: РД МЭ(4)","28","АО «БИТК»","ЗАО «НПП «БИТ»","ПАО «Центральный телеграф»","125375, г. Москва, ул. Тверская, д. 7, (495) 504-4444",
"3492","12.01.2016","12.01.2019","программное изделие «Интеграционная платформа» №07623615.00031-01","Соответствует требованиям документов: РД НДВ(2), ТУ","300","ООО «НПО ВС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская область, г. Саров, проспект Мира, д. 37, (831) 302-9644, (831) 302-9624",
"3493","12.01.2016","12.01.2019","программное изделие «Портальные сервисы» №07623615.00032-01","Соответствует требованиям документов: РД НДВ(4), ТУ","300","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская область, г. Саров, проспект Мира, д. 37, (831) 302-9644, (831) 302-9624",
"3494","12.01.2016","12.01.2019","программная платформа «JEE»","Соответствует требованиям документов: РД НДВ(2)","300","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская область, г. Саров, проспект Мира, д. 37, (831) 302-9644, (831) 302-9624",
"3495","12.01.2016","12.01.2019","программное изделие «Система управления проектами и программами» №07623615.00035-01","Соответствует требованиям документов: РД НДВ(2), ТУ","300","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская область, г. Саров, проспект Мира, д. 37, (831) 302-9644, (831) 302-9624",
"3496","12.01.2016","12.01.2019","Программное изделие «Система управления эффективностью деятельности на основе BI-решений»","Соответствует требованиям документов: РД НДВ(2), ТУ","300","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская область, г. Саров, проспект Мира, д. 37, (831) 302-9644, (831) 302-9624",
"3497","13.01.2016","13.01.2019","СПО ФГИС «Федеральный портал управленческих кадров»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","ФГУП «НПП «Гамма»","ООО «ЦБИ»","ООО «КВАРТА ВК»","109240, г. Москва, Москворецкая наб., д. 9, стр. 1, (495) 926-5423",
"3498","13.01.2016","13.01.2024","программный комплекс «KOMRAD Enterprise SIEM»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","МОУ «ИИФ»","ООО «ЦБИ»","АО «НПО «Эшелон»","107023, г. Москва, ул. Электрозаводская, д. 24, стр. 1, (495) 223-2392, (495) 645-3811, 8-985-929-85-05","01.07.2027"
"3499","14.01.2016","14.01.2019","ПО «Автоматизированная система управления инвестиционной деятельностью»","Соответствует требованиям документов: ТУ","30","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КИС»","107023, г. Москва, ул. Электрозаводская, д. 24, стр. 1, (495) 285-3279",
"3500","14.01.2016","14.01.2019","СПО «Ведомственный портал государственной автоматизированной системы правовой статистики»","Соответствует требованиям документов: ЗБ, РД НДВ(3), РД БИТ(ОУД3)","1","ООО «ЦБИ»","ФСТЭК России","Генеральная прокуратура Российской Федерации","125993, г. Москва, ул. Большая Дмитровка, д. 15, (495) 627-0212",
"3501","15.01.2016","15.01.2019","ПО «АРМ «Правовая статистика»","Соответствует требованиям документов: РД НДВ(4)","1000","ООО «ЦБИ»","ФСТЭК России","Генеральная прокуратура Российской Федерации","125993, г. Москва, ул. Большая Дмитровка, д. 15, (495) 627-0212",
"3502","15.01.2016","15.01.2019","программное обеспечение «АРМ «Регистрация заявлений и сообщений»","Соответствует требованиям документов: РД НДВ(4)","1000","ООО «ЦБИ»","ФСТЭК России","Генеральная прокуратура Российской Федерации","125993, г. Москва, ул. Большая Дмитровка, д. 15, (495) 627-0212",
"3504","19.01.2016","19.01.2019","Cisco Catalyst 3850","Соответствует требованиям документов: РД МЭ(4)","3","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ЗАО «НПП «БИТ»","АО «Инфозащита»","115114, г. Москва, Дербеневская наб., д. 11, (495) 781-6412",
"3505","19.01.2016","19.01.2019","межсетевой экран Cisco ASA 5510 с установленным программным обеспечением Cisco ASA версии 9.1(6.10)","Соответствует требованиям документов: РД МЭ(4)","29","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",
"3506","19.01.2016","19.01.2019","межсетевой экран Cisco ASA 5515 с установленным программным обеспечением Cisco ASA версии 9.5(1)","Соответствует требованиям документов: РД МЭ(4)","86","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",
"3507","19.01.2016","19.01.2019","Cisco ASA 5512","Соответствует требованиям документов: РД МЭ(4)","126","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",
"3508","15.02.2016","15.02.2019","программное обеспечение «Система централизованного управления идентификационными данными пользователей IBM Security Identity Manager 7.0»","Соответствует требованиям документов: ТУ","серия","ООО «НПО ВС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «НИЦ»","117246, г. Москва, Научный проезд, д. 6, эт. 1, пом. 1, ком. 32, (495) 204-2086",
"3509","27.01.2016","27.01.2024","Dr.Web Enterprise Security Suite","Соответствует требованиям документов: Требования доверия(2), Требования к САВЗ, Профиль защиты САВЗ(А второго класса защиты. ИТ.САВЗ.А2.ПЗ), Профиль защиты САВЗ(Б второго класса защиты. ИТ.САВЗ.Б2.ПЗ), Профиль защиты САВЗ(В второго класса защиты. ИТ.САВЗ.В2.ПЗ), Профиль защиты САВЗ(Г второго класса защиты. ИТ.САВЗ.Г2.ПЗ)","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Доктор Веб»","125124, г. Москва, 3-я улица Ямского поля, вл. 2, корп. 12А, (495) 789-4587",
"3510","17.02.2016","17.02.2019","программное обеспечение Microsoft Dynamics CRM Server 2015","Соответствует требованиям документов: ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ФГУП «Предприятие по поставкам продукции Управления делами Президента Российской Федерации»

ООО «Сертифицированные информационные системы груп»","125047, г. Москва, ул. 2-я Тверская-Ямская, д. 16/18, стр. 2, (495) 259-1605


117420, г. Москва, ул. Наметкина, д. 10А, корп. 1, (495) 229-5607","14.01.2025"
"3511","29.01.2016","29.01.2019","Защищенный персональный компьютер для реализации доступа пользователей к информационным ресурсам сети «Интернет» «АРМ-Интернет»","Соответствует требованиям документов: Требования к ср. для Интернет, НМД ПЭМИН-1998, ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Профиль Защиты»","141090, Московская обл., г. Королев, мкрн. Юбилейный, ул. Пионерская, д. 1/4, пом. XXXXI, (498) 601-2511","31.12.2024"
"3512","29.01.2016","29.01.2019","ППО «Е5 Управление активами Корпорации»","Соответствует требованиям документов: ТУ","10","ФГУП «НПП «Гамма»","АО «БИТК»","ЗАО «Стратегия информационной безопасности»","143983, Московская обл., г. Железнодорожный, ул. Керамическая, д. 1, корп. 1, (495) 741-8779",
"3513","29.01.2016","29.01.2019","межсетевой экран Cisco ASA 5515 с установленным программным обеспечением Cisco ASA версии 9.5(1)","Соответствует требованиям документов: РД МЭ(4)","20","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ЗАО «НПП «БИТ»","ООО «АДВ Консалтинг»","119049, г. Москва, Крымский Вал, д. 10, (495) 134-3663",
"3514","05.02.2016","05.02.2019","средство активной защиты информации от утечки за счет побочных электромагнитных излучений и наводок «Соната-Р3»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Анна»","111141, г. Москва, ул. Плеханова, д. 15А, стр. 5, (495) 232-60-63","05.02.2026"
"3515","01.03.2016","01.03.2019","NetApp CN1610","Соответствует требованиям документов: РД МЭ(5)","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",
"3516","29.02.2016","01.03.2019","Cisco ASR 1002-X","Соответствует требованиям документов: РД МЭ(4)","4","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3517","29.02.2016","01.03.2019","Cisco ASR 1002","Соответствует требованиям документов: РД МЭ(4)","4","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3518","15.02.2016","15.02.2019","Microsoft SQL Server 2014","Соответствует требованиям документов: ТУ","серия","ООО «НПО ВС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «Предприятие по поставкам продукции Управления делами Президента Российской Федерации»

ООО «Сертифицированные информационные системы груп»","125047, г. Москва, ул. 2-я Тверская-Ямская, д. 16/18, стр. 2, (495) 259-1605


117420, г. Москва, ул. Наметкина, д. 10А, корп. 1, (495) 229-5607",
"3519","12.02.2016","12.02.2024","генератор шума по цепям электропитания, заземления и ПЭМИ «ЛГШ-503»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б), ТУ","серия","АО «Лаборатория ППШ»","ФСТЭК России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"3520","12.02.2016","12.02.2024","сетевой генератор шума «ЛГШ-221»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б)","серия","АО «Лаборатория ППШ»","Ассоциация «ЕВРААС»","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"3521","12.02.2016","12.02.2024","генератор шума по цепям электропитания, заземления и ПЭМИ «ЛГШ-513»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б)","серия","АО «Лаборатория ППШ»","ФСТЭК России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"3522","29.02.2016","01.03.2019","маршрутизатор Cisco 2951/K9 с установленным программным обеспечением Cisco IOS версии 15.4(3)M3","Соответствует требованиям документов: РД МЭ(4)","2","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3523","29.02.2016","01.03.2019","Cisco ASA 5585-X","Соответствует требованиям документов: РД МЭ(4)","2","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3524","29.02.2016","01.03.2019","Cisco 2921/K9","Соответствует требованиям документов: РД МЭ(4)","19","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3525","29.02.2016","01.03.2019","Cisco 2911/K9","Соответствует требованиям документов: РД МЭ(4)","24","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3526","29.02.2016","01.03.2019","Cisco 2911/K9","Соответствует требованиям документов: РД МЭ(4)","2","ООО «ЛИССИ-Софт»","ЗАО «НПП «БИТ»","ООО СК «ВТБ Страхование»","101000, г. Москва, Чистопрудный бульвар, д. 8, стр. 1, (495) 644-4440",
"3527","16.02.2016","16.02.2019","межсетевой экран Cisco ASA 5585 с установленным программным обеспечением Cisco ASA версии 9.5(1)","Соответствует требованиям документов: РД МЭ(4)","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ЗАО «НПП «БИТ»","ООО «АДВ Консалтинг»","119049, г. Москва, Крымский Вал, д. 10, (495) 134-3663",
"3528","20.02.2016","20.02.2019","программная платформа анализа рисков информационных систем Skybox View Enterprise Suite","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","АО «Интернейшнл АйТи Дистрибьюшн»","115114, г. Москва, ул. Дербеневская, д. 20, стр. 27, (499) 502 13 75",
"3529","20.02.2016","20.02.2019","Identity Manager 4.5 Advanced Edition для OC SUSE Linux Enterprise Server 11 SP3","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","ЗАО «КЛИО»","АО «НПО «Эшелон»","ООО «БРИЗ»","107023, г. Москва, пл. Журавлева, д. 10, (495) 765-6661",
"3530","20.02.2016","20.02.2024","программно-аппаратный комплекс Dionis-NX","Соответствует требованиям документов: Требования доверия(2), Требования к МЭ, Профиль защиты МЭ(А второго класса защиты. ИТ.МЭ.А2.ПЗ), Требования к СОВ, Профили защиты СОВ(cети второго класса защиты. ИТ.СОВ.С2.ПЗ)","серия","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Фактор-ТС»","123290, г. Москва, 1-й Магистральный проезд, д. 11, стр. 1, эт. 5, пом. I, комн. 4, (495) 644-3130",
"3531","01.03.2016","01.03.2019","программное изделие SAS Platform 9.4 M3","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","МОУ «ИИФ»","АО «НПО «Эшелон»","АО «РАМЭК-ВС»","195220, г. Санкт-Петербург, переулок 5-й Верхний, д. 1, корп. 2, лит. А, (812) 740- 38-38, (495) 221-17-18",
"3532","01.03.2016","01.03.2019","Cisco ASA 5545","Соответствует требованиям документов: РД МЭ(4)","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО Туристические гостиничные комплексы «Измайлово»","105613, г. Москва, Измайловское шоссе, д. 71, корп. 4Г-Д, (495) 737-7081",
"3533","01.03.2016","01.03.2019","коммутатор HP 3100 с установленным программным обеспечением HP Comware Software версии 5.20.99, Release 5203P13","Соответствует требованиям документов: РД МЭ(4)","8","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Азон»","127550, г. Москва, ул. Прянишникова, д. 23а, стр. 2, оф. 37",
"3534","02.03.2016","02.03.2019","коммутатор Cisco Catalyst 3750X","Соответствует требованиям документов: РД МЭ(4)","7","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «ЭЛВИС-ПЛЮС»","124527, г. Москва, г. Зеленоград, Солнечная аллея, д. 6, помещение VI, офис 7, (495) 276-0211",
"3535","09.03.2016","09.03.2019","программное обеспечение «Система обеспечения защищенного доступа пользователей к веб-приложениям IBM Security Access Manager for Web 8.0»","Соответствует требованиям документов: ТУ","серия","ООО «НПО ВС»","АО «НПО «Эшелон»","АО «НИЦ»","117246, г. Москва, Научный проезд, д. 6, эт. 1, пом. 1, ком. 32, (495) 204-2086",
"3536","21.03.2016","21.03.2019","коммутатор Cisco 65xx","Соответствует требованиям документов: РД МЭ(4)","5","АО «БИТК»","ФСТЭК России","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"3537","21.03.2016","21.03.2019","межсетевой экран Cisco PIX-5xx","Соответствует требованиям документов: РД МЭ(4)","27","АО «БИТК»","ФСТЭК России","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"3538","21.03.2016","21.03.2019","межсетевой экран Cisco ASA 55xx","Соответствует требованиям документов: РД МЭ(4)","182","АО «БИТК»","ФСТЭК России","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"3539","24.03.2016","24.03.2024","средство активной защиты информации от утечки за счет побочных электромагнитных излучений и наводок «Соната-Р3.1»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Анна»","111141, г. Москва, ул. Плеханова, д. 15А, стр. 5, (495) 232-60-63","24.03.2031"
"3540","28.03.2016","28.03.2019","Сервисное обслуживание 2016 (шифр «СВК СО 2016»)","Соответствует требованиям документов: РД СЗЗ(9)","1000000","АО «БИТК»","ФСТЭК России","ООО «НПО Инфокристалл»","105064, г. Москва, Нижний Сусальный пер., д. 4, стр. 4, (495) 607-7469",
"3542","30.03.2016","30.03.2019","Naumen Service Management Platform","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","ООО «ЛИССИ-Софт»","АО «НПО «Эшелон»","ЗАО «Нау-сервис»","620014, г. Екатеринбург, ул. Вайнера, д. 30, корп. 1, (343) 378-4287",
"3543","14.04.2016","14.04.2024","маскиратор побочных электромагнитных излучений и наводок «Маис-М2»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «РНТ»","129515, г. Москва, ул. 2-я Останкинская, дом 6, (495) 777-7577",
"3544","14.04.2016","14.04.2024","маскиратор побочных электромагнитных излучений и наводок «Маис-М1»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «РНТ»","129515, г. Москва, ул. 2-я Останкинская, дом 6, (495) 777-7577",
"3545","14.04.2016","14.04.2019","Генератор ГШ-2500МС (исполнение ТИДН.46217.010)","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП СКБ ИРЭ РАН","141190, Московская обл., г. Фрязино, площадь Введенского, д. 1, 8 (496) 565 24-03, (495) 988-2825",
"3546","07.04.2016","07.04.2019","Cisco SM1","Соответствует требованиям документов: РД МЭ(4)","2","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"3547","07.04.2016","07.04.2019","межсетевой экран Cisco FWSM","Соответствует требованиям документов: РД МЭ(4)","5","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"3548","07.04.2016","07.04.2019","сетевое устройство Alcatel OS6850-24","Соответствует требованиям документов: РД МЭ(4)","1","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"3549","11.04.2016","11.04.2019","«СЕТУНЬ» 2.0","Соответствует требованиям документов: РД НДВ(4)","300","ООО «ИБТранс»","АО «НИИАС»","ООО «СЕТУНЬ»","107031, г. Москва, ул. Рождественка, д. 5/7, стр. 2, пом. V, оф. 18, (495) 363-4336",
"3550","05.05.2016","05.05.2019","Rapid7 Nexpose","Соответствует требованиям документов: ТУ","300","АО «НПО «Эшелон»","АО «БИТК»","ООО «КИС»","107023, г. Москва, ул. Электрозаводская, д. 24, стр. 1, (495) 285-3279",
"3551","06.05.2016","06.05.2019","программный комплекс «Автоматизированная система «Электронная торговая площадка ЕСТП»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","АО «Информакустика»","АО «НПО «Эшелон»","ООО «ЕСТП»","115035 г. Москва, ул. Садовническая, д. 14, стр. 2, (495) 753-9055","06.05.2024"
"3552","14.04.2016","14.04.2019","генератор ГШ-2500МС (исполнение ТИДН.46217.010-01)","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП СКБ ИРЭ РАН","141190, Московская обл., г. Фрязино, площадь Введенского, д. 1, 8 (496) 565 24-03, (495) 988-2825",
"3553","20.04.2016","20.04.2024","система защиты информации от несанкционированного доступа «Страж NT» версия 4.0","Соответствует требованиям документов: Требования доверия(2), РД СВТ(3)","серия","ООО «ЦБИ»","ЗАО «НПП «БИТ»","ООО «РУБИНТЕХ»","127322, г. Москва, пр. Огородный, д. 20, (495) 971-3376",
